date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:59	29701/29701	---M--	200	added ('OK')	text/html	etag:%227405-6240cb91b9c74%22	https://www.connectionfestival.com.br/	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/index.html	(from )
16:12:59	1090/1090	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Nov%202024%2019:12:59%20GMT	https://www.connectionfestival.com.br/robots.txt		(from )
16:12:59	142831/142831	---M--	200	added ('OK')	image/png	etag:%2222def-62392edc5dfaf%22	https://www.connectionfestival.com.br/images/CONNECTION_WHITE.png	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/CONNECTION_WHITE.png	(from https://www.connectionfestival.com.br/)
16:12:59	62107/62107	---M-Z	-1	error ('Error%20when%20decompressing')	application/x-javascript	date:Sat,%2030%20Nov%202024%2019:13:00%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/C%c3%b3pia%20Sites%20001/connect.facebook.net/en_US/fbevents.js	(from https://www.connectionfestival.com.br/)
16:12:59	1005813/1005813	---M--	200	added ('OK')	text/css	etag:%22f58f5-62392edafc6ba%22	https://www.connectionfestival.com.br/css/style.css	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/css/style.css	(from https://www.connectionfestival.com.br/)
16:13:01	6567/6567	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sat,%2030%20Nov%202024%2019:13:01%20GMT	https://seusite.com/images/ftcapa10.jpg	D:/C%c3%b3pia%20Sites%20001/seusite.com/images/ftcapa10.html	(from https://www.connectionfestival.com.br/)
16:13:01	390846/390846	---M--	200	added ('OK')	image/jpeg	etag:%225f6be-62392edd1efe8%22	https://www.connectionfestival.com.br/images/ftcapa10.jpg	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/ftcapa10.jpg	(from https://www.connectionfestival.com.br/)
16:13:01	133373/133373	---M--	200	added ('OK')	image/png	etag:%22208fd-62392ee60abe4%22	https://www.connectionfestival.com.br/images/WONDERLAND-WHITE.png	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/WONDERLAND-WHITE.png	(from https://www.connectionfestival.com.br/)
16:13:01	333662/333662	---M--	200	added ('OK')	image/jpeg	etag:%225175e-62392edb58da2%22	https://www.connectionfestival.com.br/images/aniversario2.jpg	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/aniversario2.jpg	(from https://www.connectionfestival.com.br/)
16:13:01	145360/145360	---M--	200	added ('OK')	image/jpeg	etag:%22237d0-62392edda774d%22	https://www.connectionfestival.com.br/images/ftcapa50.jpg	D:/C%c3%b3pia%20Sites%20001/www.connectionfestival.com.br/images/ftcapa50.jpg	(from https://www.connectionfestival.com.br/)
